url	Categories	Products	Industries	Internals
https://blog.adobe.com/it/publish/2021/07/30/adobe-da-voce-giovani-giornata-internazionale-amicizia-giornata-gioventu	""	""	""	""
https://blog.adobe.com/it/publish/2021/07/20/da-oggi-versione-piu-veloce-after-effects-nuove-funzionalita-rendering-multi-fotogramma-beta-pubblica	"Creatività e design, News"	"After Effects"	""	""
https://blog.adobe.com/it/publish/2021/07/20/trascrizione-vocale-inclusa-abbonamento-supporto-nativo-mac-m1-disponibili-premiere-pro	""	"Creative Cloud, After Effects, Premiere Pro, Character Animator"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/07/15/giornata-mondiale-emoji-2021	"Creatività e design"	""	"Media & intrattenimento"	""
https://blog.adobe.com/it/publish/2021/06/23/adobe-substance-3d-strumenti-per-nuova-generazione-creativita	"News, Creatività e design, 3D & AR"	"Creative Cloud, Illustrator, Photoshop"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/06/22/premiere-pro-si-aggiorna-per-creator-di-oggi	"News, Creatività e design, Trasformazione Digitale"	"Creative Cloud, Premiere Pro"	"Media & intrattenimento"	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/06/08/adobe-annuncia-rilascio-pennelli-personalizzati-photoshop-ipad-incredibili-preset-adobe-camera-raw	""	"Photoshop"	""	""
https://blog.adobe.com/it/publish/2021/06/08/adobe-illustrator-indesign-disponibili-apple-silicon	"Design, Illustrazione"	"Illustrator, InDesign"	""	""
https://blog.adobe.com/it/publish/2021/06/08/photoshop-express-annuncia-disponibilita-funzionalita-fotoritocco	"Fotografia"	"Photoshop"	""	""
https://blog.adobe.com/it/publish/2021/06/08/release-fotografica-giugno	"Fotografia"	"Lightroom"	""	""
https://blog.adobe.com/it/publish/2021/04/15/verso-un-futuro-piu-inclusivo-per-le-emoji	"Creatività e design, Responsabilità aziendale, Tipografia, Diversità & Inclusione"	"Creative Cloud, Typography"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/03/11/rendering-multi-fotogramma-debutta-versione-beta-after-effects	"Creatività e design"	"Creative Cloud, After Effects"	"Media & intrattenimento"	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/03/11/adobe-photoshop-arriva-mac-apple-silicon-selezioni-veloci-performance-filtri-migliorati	"News, Creatività e design, Fotografia, Illustrazione"	"Creative Cloud, Lightroom, Photoshop"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/03/11/nuova-release-strumenti-audio-video-adobe-potere-creators-oggi-professionisti-storyteller-social	"News, Creatività e design"	"Creative Cloud, After Effects, Premiere Pro, Premiere Rush"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/02/12/buon-san-valentino-lamore-ai-tempi-del-lockdown-secondo-gli-adobe-insiders	"Creatività e design"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/02/09/adobe-annuncia-nuovi-strumenti-di-collaborazione-per-photoshop-illustrator-e-fresco	"Creatività e design"	"Fresco, Illustrator, Photoshop"	""	""
https://blog.adobe.com/it/publish/2021/02/02/i-visual-trends-di-adobe-stock-per-il-2021-colori-che-migliorano-lumore	"Creatività e design"	"Stock, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/01/27/adobe-celebra-la-creativita-nella-produzione-cinematografica	"Creatività e design"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2021/01/12/le-tendenze-creative-2021-di-adobe-stock-lanno-della-resilienza	"Design, Fotografia"	"Stock, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2020/12/21/ora-in-beta-premiere-pro-premiere-rush-e-audition-per-i-sistemi-apple-m1	"Creatività e design"	"Premiere Pro, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2020/12/16/2021-un-nuovo-capitolo-per-il-colore-dellanno-di-pantone	"Creatività e design"	"Stock, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/it/publish/2020/11/18/novita-esportazione-rapida-in-premiere-pro-e-sostituzione-multimediale-nei-modelli-di-grafica-animata	"Creatività e design"	"Premiere Pro, Creative Cloud"	""	"Creative Cloud"
